Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-04-04 00:00:00,https://bina.az/items/3212224,289000.0,AZN,Nərimanov r.,"3 otaqlı
106 m²
2/18 mərtəbə","Bakı, 04 aprel 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3212224,3,106.0,2/18,2.0,18.0,2726.4150943396226
2023-03-23 00:00:00,https://bina.az/items/3333338,234000.0,AZN,8 Noyabr m.,"2 otaqlı
110 m²
13/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3333338,2,110.0,13/17,13.0,17.0,2127.2727272727275
2023-03-23 00:00:00,https://bina.az/items/3365201,290000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
136 m²
6/14 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3365201,3,136.0,6/14,6.0,14.0,2132.3529411764707
2023-03-23 00:00:00,https://bina.az/items/3240234,475000.0,AZN,Nəriman Nərimanov m.,"4 otaqlı
180 m²
12/18 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3240234,4,180.0,12/18,12.0,18.0,2638.8888888888887
2023-03-23 00:00:00,https://bina.az/items/3365153,360000.0,AZN,Nərimanov r.,"5 otaqlı
228 m²
4/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365153,5,228.0,4/16,4.0,16.0,1578.9473684210527
2023-03-23 00:00:00,https://bina.az/items/3271733,177000.0,AZN,Nərimanov r.,"2 otaqlı
79.7 m²
8/18 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3271733,2,79.7,8/18,8.0,18.0,2220.828105395232
2023-03-23 00:00:00,https://bina.az/items/3365098,295000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
150 m²
6/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365098,3,150.0,6/17,6.0,17.0,1966.6666666666667
2023-03-23 00:00:00,https://bina.az/items/3365060,370000.0,AZN,28 May m.,"4 otaqlı
186.5 m²
13/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3365060,4,186.5,13/16,13.0,16.0,1983.9142091152812
2023-03-23 00:00:00,https://bina.az/items/3365042,350000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
148 m²
6/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365042,3,148.0,6/16,6.0,16.0,2364.864864864865
2023-03-23 00:00:00,https://bina.az/items/3283160,289500.0,AZN,Nərimanov r.,"3 otaqlı
148 m²
3/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3283160,3,148.0,3/16,3.0,16.0,1956.081081081081
2023-03-23 00:00:00,https://bina.az/items/3365025,420000.0,AZN,Nəriman Nərimanov m.,"4 otaqlı
206 m²
16/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365025,4,206.0,16/17,16.0,17.0,2038.8349514563104
2023-03-23 00:00:00,https://bina.az/items/3365009,508000.0,AZN,Nəriman Nərimanov m.,"5 otaqlı
212 m²
15/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365009,5,212.0,15/17,15.0,17.0,2396.22641509434
2023-04-17 14:25:00,https://bina.az/items/3365000,245000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
125 m²
2/19 mərtəbə","Bakı, bugün 14:25",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365000,3,125.0,2/19,2.0,19.0,1960.0
2023-03-23 00:00:00,https://bina.az/items/3329167,255000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
93 m²
2/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3329167,3,93.0,2/17,2.0,17.0,2741.935483870968
2023-03-23 00:00:00,https://bina.az/items/3362430,271500.0,AZN,Nəriman Nərimanov m.,"4 otaqlı
215 m²
6/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3362430,4,215.0,6/17,6.0,17.0,1262.7906976744189
2023-03-23 00:00:00,https://bina.az/items/3364960,450000.0,AZN,Gənclik m.,"4 otaqlı
200 m²
4/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3364960,4,200.0,4/17,4.0,17.0,2250.0
2023-03-23 00:00:00,https://bina.az/items/2929605,520000.0,AZN,Nərimanov r.,"4 otaqlı
263 m²
4/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,2929605,4,263.0,4/17,4.0,17.0,1977.1863117870723
